CVEID,CWEID,VulnerabilityType,AttackPattern,Report
CVE-2001-0392,['NVD-CWE-Other'],[''],[],"Navision Financials Server 2.60 and earlier allows remote attackers to cause a denial of service by sending a null character and a long string to the server port (2407), which causes the server to crash."
CVE-2001-0393,['NVD-CWE-Other'],[''],[],"Navision Financials Server 2.0 allows remote attackers to cause a denial of service via a series of connections to the server without providing a username/password combination, which consumes the license limits."
CVE-2001-0394,['NVD-CWE-Other'],[''],[],Remote manager service in Website Pro 3.0.37 allows remote attackers to cause a denial of service via a series of malformed HTTP requests to the /dyn directory.
CVE-2001-0395,['NVD-CWE-Other'],[''],[],"Lightwave ConsoleServer 3200 does not disconnect users after unsuccessful login attempts, which could allow remote attackers to conduct brute force password guessing."
CVE-2001-0396,['NVD-CWE-Other'],[''],[],"The pre-login mode in the System Administrator interface of Lightwave ConsoleServer 3200 allows remote attackers to obtain sensitive information such as system status, configuration, and users."
CVE-2001-0397,['NVD-CWE-Other'],[''],[],"Buffer overflow in Silent Runner Collector (SRC) 1.6.1 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long SMTP HELO command."
CVE-2001-0398,['NVD-CWE-Other'],[''],[],"The BAT! mail client allows remote attackers to bypass user warnings of an executable attachment and execute arbitrary commands via an attachment whose file name contains many spaces, which also causes the BAT!  to misrepresent the attachment's type with a different icon."
CVE-2001-0399,['NVD-CWE-Other'],[''],[],Caucho Resin 1.3b1 and earlier allows remote attackers to read source code for Javabean files by inserting a .jsp before the WEB-INF specifier in an HTTP request.
CVE-2001-0400,['NVD-CWE-Other'],[''],[],"nph-maillist.pl allows remote attackers to execute arbitrary commands via shell metacharacters (""`"") in the email address."
CVE-2001-0401,['NVD-CWE-Other'],[''],[],Buffer overflow in tip in Solaris 8 and earlier allows local users to execute arbitrary commands via a long HOME environmental variable.
CVE-2001-0402,['NVD-CWE-Other'],[''],[],"IPFilter 3.4.16 and earlier does not include sufficient session information in its cache, which allows remote attackers to bypass access restrictions by sending fragmented packets to a restricted port after sending unfragmented packets to an unrestricted port."
CVE-2001-0403,['NVD-CWE-Other'],[''],[],/opt/JSparm/bin/perfmon program in Solaris allows local users to create arbitrary files as root via the Logging File option in the GUI.
CVE-2001-0404,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in JavaServer Web Dev Kit (JSWDK) 1.0.1 allows remote attackers to read arbitrary files via a .. (dot dot) in an HTTP request to the WEB-INF directory.
CVE-2001-0405,['NVD-CWE-Other'],[''],[],"ip_conntrack_ftp in the IPTables firewall for Linux 2.4 allows remote attackers to bypass access restrictions for an FTP server via a PORT command that lists an arbitrary IP address and port number, which is added to the RELATED table and allowed by the firewall."
CVE-2001-0406,['NVD-CWE-Other'],[''],[],"Samba before 2.2.0 allows local attackers to overwrite arbitrary files via a symlink attack using (1) a printer queue query, (2) the more command in smbclient, or (3) the mput command in smbclient."
CVE-2001-0407,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in MySQL before 3.23.36 allows local users to modify arbitrary files and gain privileges by creating a database whose name starts with .. (dot dot).
CVE-2001-0408,['NVD-CWE-Other'],[''],[],"vim (aka gvim) processes VIM control codes that are embedded in a file, which could allow attackers to execute arbitrary commands when another user opens a file containing malicious VIM control codes."
CVE-2001-0409,['NVD-CWE-Other'],[''],[],"vim (aka gvim) allows local users to modify files being edited by other users via a symlink attack on the backup and swap files, when the victim is editing the file in a world writable directory."
CVE-2001-0410,['NVD-CWE-Other'],[''],[],"Buffer overflow in Trend Micro Virus Buster 2001 8.02 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long ""From"" header."
CVE-2001-0411,['NVD-CWE-Other'],[''],[],"Reliant Unix 5.44 and earlier allows remote attackers to cause a denial of service via an ICMP port unreachable packet, which causes Reliant to drop all connections to the source address of the packet."
CVE-2001-0412,['NVD-CWE-Other'],[''],[],"Cisco Content Services (CSS) switch products 11800 and earlier, aka Arrowpoint, allows local users to gain privileges by entering debug mode."
CVE-2001-0413,['NVD-CWE-Other'],[''],[],"BinTec X4000 Access router, and possibly other versions, allows remote attackers to cause a denial of service via a SYN port scan, which causes the router to hang."
CVE-2001-0414,['NVD-CWE-Other'],[''],[],Buffer overflow in ntpd ntp daemon 4.0.99k and earlier (aka xntpd and xntp3) allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long readvar argument.
CVE-2001-0415,['NVD-CWE-Other'],[''],[],"REDIPlus program, REDI.exe, stores passwords and user names in cleartext in the StartLog.txt log file, which allows local users to gain access to other accounts."
CVE-2001-0416,['NVD-CWE-Other'],[''],[],"sgml-tools (aka sgmltools) before 1.0.9-15 creates temporary files with insecure permissions, which allows other users to read files that are being processed by sgml-tools."
CVE-2001-0417,['NVD-CWE-Other'],[''],[],Kerberos 4 (aka krb4) allows local users to overwrite arbitrary files via a symlink attack on new ticket files.
CVE-2001-0418,['NVD-CWE-Other'],[''],[],content.pl script in NCM Content Management System allows remote attackers to read arbitrary contents of the content database by inserting SQL characters into the id parameter.
CVE-2001-0419,['NVD-CWE-Other'],[''],[],"Buffer overflow in shared library ndwfn4.so for iPlanet Web Server (iWS) 4.1, when used as a web listener for Oracle application server 4.0.8.2, allows remote attackers to execute arbitrary commands via a long HTTP request that is passed to the application server, such as /jsp/."
CVE-2001-0420,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in talkback.cgi program allows remote attackers to read arbitrary files via a .. (dot dot) in the article parameter.
CVE-2001-0421,['NVD-CWE-Other'],[''],[],"FTP server in Solaris 8 and earlier allows local and remote attackers to cause a core dump in the root directory, possibly with world-readable permissions, by providing a valid username with an invalid password followed by a CWD ~ command, which could release sensitive information such as shadowed passwords, or fill the disk partition."
CVE-2001-0422,['NVD-CWE-Other'],[''],[],Buffer overflow in Xsun in Solaris 8 and earlier allows local users to execute arbitrary commands via a long HOME environmental variable.
CVE-2001-0423,['NVD-CWE-Other'],[''],[],"Buffer overflow in ipcs in Solaris 7 x86 allows local users to execute arbitrary code via a long TZ (timezone) environmental variable, a different vulnerability than CAN-2002-0093."
CVE-2001-0424,['NVD-CWE-Other'],[''],[],"BubbleMon 1.31 does not properly drop group privileges before executing programs, which allows local users to execute arbitrary commands with the kmem group id."
CVE-2001-0425,['NVD-CWE-Other'],[''],[],"AdLibrary.pm in AdCycle 0.78b allows remote attackers to gain privileges to AdCycle via a malformed Agent: header in the HTTP request, which is inserted into a resulting SQL query that is used to verify login information."
CVE-2001-0426,['NVD-CWE-Other'],[''],[],"Buffer overflow in dtsession on Solaris, and possibly other operating systems, allows local users to gain privileges via a long LANG environmental variable."
CVE-2001-0427,['CWE-20'],['Improper Input Validation'],"['CAPEC-10', 'CAPEC-101', 'CAPEC-104', 'CAPEC-108', 'CAPEC-109', 'CAPEC-110', 'CAPEC-120', 'CAPEC-13', 'CAPEC-135', 'CAPEC-136', 'CAPEC-14', 'CAPEC-153', 'CAPEC-182', 'CAPEC-209', 'CAPEC-22', 'CAPEC-23', 'CAPEC-230', 'CAPEC-231', 'CAPEC-24', 'CAPEC-250', 'CAPEC-261', 'CAPEC-267', 'CAPEC-28', 'CAPEC-3', 'CAPEC-31', 'CAPEC-42', 'CAPEC-43', 'CAPEC-45', 'CAPEC-46', 'CAPEC-47', 'CAPEC-473', 'CAPEC-52', 'CAPEC-53', 'CAPEC-588', 'CAPEC-63', 'CAPEC-64', 'CAPEC-664', 'CAPEC-67', 'CAPEC-7', 'CAPEC-71', 'CAPEC-72', 'CAPEC-73', 'CAPEC-78', 'CAPEC-79', 'CAPEC-8', 'CAPEC-80', 'CAPEC-81', 'CAPEC-83', 'CAPEC-85', 'CAPEC-88', 'CAPEC-9']","Cisco VPN 3000 series concentrators before 2.5.2(F) allow remote attackers to cause a denial of service via a flood of invalid login requests to (1) the SSL service, or (2) the telnet service, which do not properly disconnect the user after several failed login attempts."
CVE-2001-0428,['NVD-CWE-Other'],[''],[],Cisco VPN 3000 series concentrators before 2.5.2(F) allow remote attackers to cause a denial of service via an IP packet with an invalid IP option.
CVE-2001-0429,['NVD-CWE-Other'],[''],[],"Cisco Catalyst 5000 series switches 6.1(2) and earlier will forward an 802.1x frame on a Spanning Tree Protocol (STP) blocked port, which causes a network storm and a denial of service."
CVE-2001-0430,['NVD-CWE-Other'],[''],[],Vulnerability in exuberant-ctags before 3.2.4-0.1 insecurely creates temporary files.
CVE-2001-0431,['NVD-CWE-Other'],[''],[],Vulnerability in iPlanet Web Server Enterprise Edition 4.x.
CVE-2001-0432,['NVD-CWE-Other'],[''],[],Buffer overflows in various CGI programs in the remote administration service for Trend Micro Interscan VirusWall 3.01 allow remote attackers to execute arbitrary commands.
CVE-2001-0433,['NVD-CWE-Other'],[''],[],"Buffer overflow in Savant 3.0 web server allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long Host HTTP header."
CVE-2001-0434,['NVD-CWE-Other'],[''],[],The LogDataListToFile ActiveX function used in (1) Knowledge Center and (2) Back web components of Compaq Presario computers allows remote attackers to modify arbitrary files and cause a denial of service.
CVE-2001-0435,['NVD-CWE-Other'],[''],[],"The split key mechanism used by PGP 7.0 allows a key share holder to obtain access to the entire key by setting the ""Cache passphrase while logged on"" option and capturing the passphrases of other share holders as they authenticate."
CVE-2001-0436,['NVD-CWE-Other'],[''],[],dcboard.cgi in DCForum 2000 1.0 allows remote attackers to execute arbitrary commands by uploading a Perl program to the server and using a .. (dot dot) in the AZ parameter to reference the program.
CVE-2001-0437,['NVD-CWE-Other'],[''],[],upload_file.pl in DCForum 2000 1.0 allows remote attackers to upload arbitrary files without authentication by setting the az parameter to upload_file.
CVE-2001-0438,['NVD-CWE-Other'],[''],[],Preview version of Timbuktu for Mac OS X allows local users to modify System Preferences without logging in via the About Timbuktu menu.
CVE-2001-0439,['NVD-CWE-Other'],[''],[],licq before 1.0.3 allows remote attackers to execute arbitrary commands via shell metacharacters in a URL.
CVE-2001-0440,['NVD-CWE-Other'],[''],[],"Buffer overflow in logging functions of licq before 1.0.3 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands."
CVE-2001-0441,['NVD-CWE-Other'],[''],[],Buffer overflow in (1) wrapping and (2) unwrapping functions of slrn news reader before 0.9.7.0 allows remote attackers to execute arbitrary commands via a long message header.
CVE-2001-0442,['NVD-CWE-Other'],[''],[],Buffer overflow in Mercury MTA POP3 server for NetWare 1.48 and earlier allows remote attackers to cause a denial of service and possibly execute arbitrary code via a long APOP command.
CVE-2001-0443,['NVD-CWE-Other'],[''],[],"Buffer overflow in QPC QVT/Net Popd 4.20 in QVT/Net 5.0 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via (1) a long username, or (2) a long password."
CVE-2001-0444,['NVD-CWE-Other'],[''],[],"Cisco CBOS 2.3.0.053 sends output of the ""sh nat"" (aka ""show nat"") command to the terminal of the next user who attempts to connect to the router via telnet, which could allow that user to obtain sensitive information."
CVE-2001-0446,['NVD-CWE-Other'],[''],[],IBM WCS (WebSphere Commerce Suite) 4.0.1 with Application Server 3.0.2 allows remote attackers to read source code for .jsp files by appending a / to the requested URL.
CVE-2001-0447,['NVD-CWE-Other'],[''],[],"Web configuration server in 602Pro LAN SUITE allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long HTTP request containing ""%2e"" (dot dot) characters."
CVE-2001-0448,['NVD-CWE-Other'],[''],[],"Web configuration server in 602Pro LAN SUITE allows remote attackers to cause a denial of service via an HTTP GET HTTP request to the aux directory, and possibly other directories with legacy DOS device names."
CVE-2001-0449,['NVD-CWE-Other'],[''],[],Buffer overflow in WinZip 8.0 allows attackers to execute arbitrary commands via a long file name that is processed by the /zipandemail command line option.
CVE-2001-0450,['NVD-CWE-Other'],[''],[],"Directory traversal vulnerability in Transsoft FTP Broker before 5.5 allows attackers to (1) delete arbitrary files via DELETE, or (2) list arbitrary directories via LIST, via a .. (dot dot) in the file name."
CVE-2001-0451,['NVD-CWE-Other'],[''],[],INDEXU 2.0 beta and earlier allows remote attackers to bypass authentication and gain privileges by setting the cookie_admin_authenticated cookie value to 1.
CVE-2001-0452,['NVD-CWE-Other'],[''],[],"BRS WebWeaver FTP server before 0.64 Beta allows remote attackers to obtain the real pathname of the server via a ""CD *"" command followed by an ls command."
CVE-2001-0453,['NVD-CWE-Other'],[''],[],"Directory traversal vulnerability in BRS WebWeaver HTTP server allows remote attackers to read arbitrary files via a .. (dot dot) attack in the (1) syshelp, (2) sysimages, or (3) scripts directories."
CVE-2001-0454,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in SlimServe HTTPd 1.1a allows remote attackers to read arbitrary files via a ... (modified dot dot) in the HTTP request.
CVE-2001-0455,['NVD-CWE-Other'],[''],[],"Cisco Aironet 340 Series wireless bridge before 8.55 does not properly disable access to the web interface, which allows remote attackers to modify its configuration."
CVE-2001-0456,['NVD-CWE-Other'],[''],[],"postinst installation script for Proftpd in Debian 2.2 does not properly change the ""run as uid/gid root"" configuration when the user enables anonymous access, which causes the server to run at a higher privilege than intended."
CVE-2001-0457,['NVD-CWE-Other'],[''],[],man2html before 1.5-22 allows remote attackers to cause a denial of service (memory exhaustion).
CVE-2001-0458,['NVD-CWE-Other'],[''],[],Multiple buffer overflows in ePerl before 2.2.14-0.7 allow local and remote attackers to execute arbitrary commands.
CVE-2001-0459,['NVD-CWE-Other'],[''],[],"Buffer overflows in ascdc Afterstep while running setuid allows local users to gain root privileges via a long (1) -d option, (2) -m option, or (3) -f option."
CVE-2001-0460,['NVD-CWE-Other'],[''],[],"Websweeper 4.0 does not limit the length of certain HTTP headers, which allows remote attackers to cause a denial of service (memory exhaustion) via an extremely large HTTP Referrer: header."
CVE-2001-0461,['NVD-CWE-Other'],[''],[],template.cgi in Free On-Line Dictionary of Computing (FOLDOC) allows remote attackers to read files and execute commands via shell metacharacters in the argument to template.cgi.
CVE-2001-0462,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in Perl web server 0.3 and earlier allows remote attackers to read arbitrary files via a .. (dot dot) in the URL.
CVE-2001-0463,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in cal_make.pl in PerlCal allows remote attackers to read arbitrary files via a .. (dot dot) in the p0 parameter.
CVE-2001-0464,['NVD-CWE-Other'],[''],[],Buffer overflow in websync.exe in Cyberscheduler allows remote attackers to execute arbitrary commands via a long tzs (timezone) parameter.
CVE-2001-0465,['NVD-CWE-Other'],[''],[],"TurboTax saves passwords in a temporary file when a user imports investment tax information from a financial institution, which could allow local users to obtain sensitive information."
CVE-2001-0466,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in ustorekeeper 1.61 allows remote attackers to read arbitrary files via a .. (dot dot) in the file parameter.
CVE-2001-0467,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in RobTex Viking Web server before 1.07-381 allows remote attackers to read arbitrary files via a \... (modified dot dot) in an HTTP URL request.
CVE-2001-0468,['NVD-CWE-Other'],[''],[],Buffer overflow in FTPFS allows local users to gain root privileges via a long user name.
CVE-2001-0469,['NVD-CWE-Other'],[''],[],"rwho daemon rwhod in FreeBSD 4.2 and earlier, and possibly other operating systems, allows remote attackers to cause a denial of service via malformed packets with a short length."
CVE-2001-0470,['NVD-CWE-Other'],[''],[],Buffer overflow in SNMP proxy agent snmpd in Solaris 8 may allow local users to gain root privileges by calling snmpd with a long program name.
CVE-2001-0471,['NVD-CWE-Other'],[''],[],"SSH daemon version 1 (aka SSHD-1 or SSH-1) 1.2.30 and earlier does not log repeated login attempts, which could allow remote attackers to compromise accounts without detection via a brute force attack."
CVE-2001-0472,['NVD-CWE-Other'],[''],[],Hursley Software Laboratories Consumer Transaction Framework (HSLCTF) HTTP object allows remote attackers to cause a denial of service (crash) via an extremely long HTTP request.
CVE-2001-0473,['NVD-CWE-Other'],[''],[],Format string vulnerability in Mutt before 1.2.5 allows a remote malicious IMAP server to execute arbitrary commands.
CVE-2001-0474,['NVD-CWE-Other'],[''],[],Utah-glx in Mesa before 3.3-14 on Mandrake Linux 7.2 allows local users to overwrite arbitrary files via a symlink attack on the /tmp/glxmemory file.
CVE-2001-0475,['NVD-CWE-Other'],[''],[],"index.php in Jelsoft vBulletin does not properly initialize a PHP variable that is used to store template information, which allows remote attackers to execute arbitrary PHP code via special characters in the templatecache parameter."
CVE-2001-0476,['NVD-CWE-Other'],[''],[],"Multiple buffer overflows in s.cgi program in Aspseek search engine 1.03 and earlier allow remote attackers to execute arbitrary commands via (1) a long HTTP query string, or (2) a long tmpl parameter."
CVE-2001-0477,['NVD-CWE-Other'],[''],[],Vulnerability in WebCalendar 0.9.26 allows remote command execution.
CVE-2001-0478,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in phpMyAdmin 2.2.0 and earlier versions allows remote attackers to execute arbitrary code via a .. (dot dot) in an argument to the sql.php script.
CVE-2001-0479,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in phpPgAdmin 2.2.1 and earlier versions allows remote attackers to execute arbitrary code via a .. (dot dot) in an argument to the sql.php script.
CVE-2001-0480,['NVD-CWE-Other'],[''],[],Directory traversal vulnerability in Alex's FTP Server 0.7 allows remote attackers to read arbitrary files via a ... (modified dot dot) in the (1) GET or (2) CD commands.
CVE-2001-0481,['NVD-CWE-Other'],[''],[],Vulnerability in rpmdrake in Mandrake Linux 8.0 related to insecure temporary file handling.
CVE-2001-0482,['NVD-CWE-Other'],[''],[],"Configuration error in Argus PitBull LX allows root users to bypass specified access control restrictions and cause a denial of service or execute arbitrary commands by modifying kernel variables such as MaxFiles, MaxInodes, and ModProbePath in /proc/sys via calls to sysctl."
CVE-2001-0483,['NVD-CWE-Other'],[''],[],Configuration error in Axent Raptor Firewall 6.5 allows remote attackers to use the firewall as a proxy to access internal web resources when the http.noproxy Rule is not set.
CVE-2001-0484,['NVD-CWE-Other'],[''],[],"Tektronix PhaserLink 850 does not require authentication for access to configuration pages such as _ncl_subjects.shtml and _ncl_items.shtml, which allows remote attackers to modify configuration information and cause a denial of service by accessing the pages."
CVE-2001-0485,['NVD-CWE-Other'],[''],[],"Unknown vulnerability in netprint in IRIX 6.2, and possibly other versions, allows local users with lp privileges attacker to execute arbitrary commands via the -n option."
CVE-2001-0486,['NVD-CWE-Other'],[''],[],Remote attackers can cause a denial of service in Novell BorderManager 3.6 and earlier by sending TCP SYN flood to port 353.
CVE-2001-0487,['NVD-CWE-Other'],[''],[],AIX SNMP server snmpd allows remote attackers to cause a denial of service via a RST during the TCP connection.
CVE-2001-0488,['NVD-CWE-Other'],[''],[],"pcltotiff in HP-UX 10.x has unnecessary set group id permissions, which allows local users to cause a denial of service."
CVE-2001-0489,['NVD-CWE-Other'],[''],[],Format string vulnerability in gftp prior to 2.0.8 allows remote malicious FTP servers to execute arbitrary commands.
CVE-2001-0490,['NVD-CWE-Other'],[''],[],Buffer overflow in WINAMP 2.6x and 2.7x allows attackers to execute arbitrary code via a long string in an AIP file.
CVE-2001-0491,['NVD-CWE-Other'],[''],[],"Directory traversal vulnerability in RaidenFTPD Server 2.1 before build 952 allows attackers to access files outside the ftp root via dot dot attacks, such as (1) .... in CWD, (2) .. in NLST, or (3) ... in NLST."
CVE-2001-0492,['NVD-CWE-Other'],[''],[],"Netcruiser Web server version 0.1.2.8 and earlier allows remote attackers to determine the physical path of the server via a URL containing (1) con, (2) com2, or (3) com3."
CVE-2001-0493,['NVD-CWE-Other'],[''],[],Small HTTP server 2.03 allows remote attackers to cause a denial of service via a URL that contains an MS-DOS device name such as aux.
CVE-2001-0494,['NVD-CWE-Other'],[''],[],Buffer overflow in IPSwitch IMail SMTP server 6.06 and possibly prior versions allows remote attackers to execute arbitrary code via a long From: header.
CVE-2001-0495,['NVD-CWE-Other'],[''],[],Directory traversal in DataWizard WebXQ server 1.204 allows remote attackers to view files outside of the web root via a .. (dot dot) attack.
CVE-2001-0496,['NVD-CWE-Other'],[''],[],"kdesu in kdelibs package creates world readable temporary files containing authentication info, which can allow local users to gain privileges."
CVE-2001-0497,['NVD-CWE-Other'],[''],[],"dnskeygen in BIND 8.2.4 and earlier, and dnssec-keygen in BIND 9.1.2 and earlier, set insecure permissions for a HMAC-MD5 shared secret key file used for DNS Transactional Signatures (TSIG), which allows attackers to obtain the keys and perform dynamic DNS updates."
CVE-2001-0498,['NVD-CWE-Other'],[''],[],Transparent Network Substrate (TNS) over Net8 (SQLNet) in Oracle 8i 8.1.7 and earlier allows remote attackers to cause a denial of service via a malformed SQLNet connection request with a large offset in the header extension.
CVE-2001-0499,['NVD-CWE-Other'],[''],[],"Buffer overflow in Transparent Network Substrate (TNS) Listener in Oracle 8i 8.1.7 and earlier allows remote attackers to gain privileges via a long argument to the commands (1) STATUS, (2) PING, (3) SERVICES, (4) TRC_FILE, (5) SAVE_CONFIG, or (6) RELOAD."
CVE-2001-0500,['NVD-CWE-Other'],[''],[],"Buffer overflow in ISAPI extension (idq.dll) in Index Server 2.0 and Indexing Service 2000 in IIS 6.0 beta and earlier allows remote attackers to execute arbitrary commands via a long argument to Internet Data Administration (.ida) and Internet Data Query (.idq) files such as default.ida, as commonly exploited by Code Red."
CVE-2001-0501,['NVD-CWE-Other'],[''],[],Microsoft Word 2002 and earlier allows attackers to automatically execute macros without warning the user by embedding the macros in a manner that escapes detection by the security scanner.
CVE-2001-0502,['NVD-CWE-Other'],[''],[],"Running Windows 2000 LDAP Server over SSL, a function does not properly check the permissions of a user request when the directory principal is a domain user and the data attribute is the domain password, which allows local users to modify the login password of other users."
CVE-2001-0503,['NVD-CWE-Other'],[''],[],"Microsoft NetMeeting 3.01 with Remote Desktop Sharing enabled allows remote attackers to cause a denial of service via a malformed string to the NetMeeting service port, aka a variant of the ""NetMeeting Desktop Sharing"" vulnerability."
CVE-2001-0504,['NVD-CWE-Other'],[''],[],Vulnerability in authentication process for SMTP service in Microsoft Windows 2000 allows remote attackers to use incorrect credentials to gain privileges and conduct activities such as mail relaying.
CVE-2001-0505,['NVD-CWE-Other'],[''],[],"Multiple memory leaks in Microsoft Services for Unix 2.0 allow remote attackers to cause a denial of service (memory exhaustion) via a large number of malformed requests to (1) the Telnet service, or (2) the NFS service."
CVE-2001-0506,['NVD-CWE-Other'],[''],[],"Buffer overflow in ssinc.dll in IIS 5.0 and 4.0 allows local users to gain system privileges via a Server-Side Includes (SSI) directive for a long filename, which triggers the overflow when the directory name is added, aka the ""SSI privilege elevation"" vulnerability."
CVE-2001-0507,['NVD-CWE-Other'],[''],[],"IIS 5.0 uses relative paths to find system files that will run in-process, which allows local users to gain privileges via a Trojan horse file, aka the ""System file listing privilege elevation"" vulnerability."
CVE-2001-0508,['NVD-CWE-Other'],[''],[],"Vulnerability in IIS 5.0 allows remote attackers to cause a denial of service (restart) via a long, invalid WebDAV request."
CVE-2001-0509,['CWE-20'],['Improper Input Validation'],"['CAPEC-10', 'CAPEC-101', 'CAPEC-104', 'CAPEC-108', 'CAPEC-109', 'CAPEC-110', 'CAPEC-120', 'CAPEC-13', 'CAPEC-135', 'CAPEC-136', 'CAPEC-14', 'CAPEC-153', 'CAPEC-182', 'CAPEC-209', 'CAPEC-22', 'CAPEC-23', 'CAPEC-230', 'CAPEC-231', 'CAPEC-24', 'CAPEC-250', 'CAPEC-261', 'CAPEC-267', 'CAPEC-28', 'CAPEC-3', 'CAPEC-31', 'CAPEC-42', 'CAPEC-43', 'CAPEC-45', 'CAPEC-46', 'CAPEC-47', 'CAPEC-473', 'CAPEC-52', 'CAPEC-53', 'CAPEC-588', 'CAPEC-63', 'CAPEC-64', 'CAPEC-664', 'CAPEC-67', 'CAPEC-7', 'CAPEC-71', 'CAPEC-72', 'CAPEC-73', 'CAPEC-78', 'CAPEC-79', 'CAPEC-8', 'CAPEC-80', 'CAPEC-81', 'CAPEC-83', 'CAPEC-85', 'CAPEC-88', 'CAPEC-9']","Vulnerabilities in RPC servers in (1) Microsoft Exchange Server 2000 and earlier, (2) Microsoft SQL Server 2000 and earlier, (3) Windows NT 4.0, and (4) Windows 2000 allow remote attackers to cause a denial of service via malformed inputs."
CVE-2001-0513,['NVD-CWE-Other'],[''],[],"Oracle listener process on Windows NT redirects connection requests to another port and creates a separate thread to process the request, which allows remote attackers to cause a denial of service by repeatedly connecting to the Oracle listener but not connecting to the redirected port."
CVE-2001-0514,['NVD-CWE-Other'],[''],[],"SNMP service in Atmel 802.11b VNET-B Access Point 1.3 and earlier, as used in Netgear ME102 and Linksys WAP11, accepts arbitrary community strings with requested MIB modifications, which allows remote attackers to obtain sensitive information such as WEP keys, cause a denial of service, or gain access to the network."
CVE-2001-0515,['NVD-CWE-Other'],[''],[],Oracle Listener in Oracle 7.3 and 8i allows remote attackers to cause a denial of service via a malformed connection packet with a large offset_to_data value.
CVE-2001-0516,['NVD-CWE-Other'],[''],[],Oracle listener between Oracle 9i and Oracle 8.0 allows remote attackers to cause a denial of service via a malformed connection packet that contains an incorrect requester_version value that does not match an expected offset to the data.
CVE-2001-0517,['NVD-CWE-Other'],[''],[],Oracle listener in Oracle 8i on Solaris allows remote attackers to cause a denial of service via a malformed connection packet with a maximum transport data size that is set to 0.
CVE-2001-0518,['NVD-CWE-Other'],[''],[],"Oracle listener before Oracle 9i allows attackers to cause a denial of service by repeatedly sending the first portion of a fragmented Oracle command without sending the remainder of the command, which causes the listener to hang."
CVE-2001-0519,['NVD-CWE-Other'],[''],[],Aladdin eSafe Gateway versions 2.x allows a remote attacker to circumvent HTML SCRIPT filtering via a special arrangement of HTML tags which includes SCRIPT tags embedded within other SCRIPT tags.
CVE-2001-0520,['NVD-CWE-Other'],[''],[],"Aladdin eSafe Gateway versions 3.0 and earlier allows a remote attacker to circumvent filtering of SCRIPT tags by embedding the scripts within certain HTML tags including (1) onload in the BODY tag, (2) href in the A tag, (3) the BUTTON tag, (4) the INPUT tag, or (5) any other tag in which scripts can be defined."
CVE-2001-0521,['NVD-CWE-Other'],[''],[],Aladdin eSafe Gateway versions 3.0 and earlier allows a remote attacker to circumvent HTML SCRIPT filtering via the UNICODE encoding of SCRIPT tags within the HTML document.
CVE-2001-0522,['NVD-CWE-Other'],[''],[],Format string vulnerability in Gnu Privacy Guard (aka GnuPG or gpg) 1.05 and earlier can allow an attacker to gain privileges via format strings in the original filename that is stored in an encrypted file.
CVE-2001-0523,['NVD-CWE-Other'],[''],[],"eEye SecureIIS versions 1.0.3 and earlier allows a remote attacker to bypass filtering of requests made to SecureIIS by escaping HTML characters within the request, which could allow a remote attacker to use restricted variables and perform directory traversal attacks on vulnerable programs that would otherwise be protected."
CVE-2001-0524,['NVD-CWE-Other'],[''],[],"eEye SecureIIS versions 1.0.3 and earlier does not perform length checking on individual HTTP headers, which allows a remote attacker to send arbitrary length strings to IIS, contrary to an advertised feature of SecureIIS versions 1.0.3 and earlier."
CVE-2001-0525,['NVD-CWE-Other'],[''],[],"Buffer overflow in dsh in dqs 3.2.7 in SuSE Linux 7.0 and earlier, and possibly other operating systems, allows local users to gain privileges via a long first command line argument."
CVE-2001-0526,['NVD-CWE-Other'],[''],[],Buffer overflow in the Xview library as used by mailtool in Solaris 8 and earlier allows a local attacker to gain privileges via the OPENWINHOME environment variable.
CVE-2001-0527,['NVD-CWE-Other'],[''],[],"DCScripts DCForum versions 2000 and earlier allow a remote attacker to gain additional privileges by inserting pipe symbols (|) and newlines into the last name in the registration form, which will create an extra entry in the registration database."
CVE-2001-0528,['NVD-CWE-Other'],[''],[],"Oracle E-Business Suite Release 11i Applications Desktop Integrator (ADI) version 7.x includes a debug version of FNDPUB11I.DLL, which logs the APPS schema password in cleartext in a debug file, which allows local users to obtain the password and gain privileges."
CVE-2001-0529,['NVD-CWE-Other'],[''],[],"OpenSSH version 2.9 and earlier, with X forwarding enabled, allows a local attacker to delete any file named 'cookies' via a symlink attack."
